t,value
1621426425,0
1621426455,0
1621426485,0
1621426515,0
1621426545,13
1621426575,13
1621426605,13
1621426635,14
1621426665,14
1621426695,14
1621426726,14
1621426756,14
1621426786,14
1621426816,14
1621426846,14
1621427195,14
1621427225,14
1621427255,14
1621427285,15
1621427315,15
1621427345,15
1621427375,15
1621427405,15
1621427435,15
1621427465,15
1621427495,0
1621427525,0
1621427555,0
1621427585,0
1621427615,0
1621427645,0
1621427675,0
1621427705,0
1621427735,0
1621427765,0
1621427795,0
1621427825,0
1621427855,0
1621427885,0
1621427915,0
1621427945,0
1621427975,0
1621428005,0
1621428035,0
1621428065,0
1621428095,0
1621428125,0
1621428155,0
1621428185,0
1621428215,0
1621428245,0
1621428275,0
1621428305,0
1621428335,0
1621428365,0
1621428395,0
1621428425,0
1621428455,1
1621428485,1
1621428515,1
1621428545,1
1621428575,1
1621428605,1
1621428635,1
1621428665,1
1621428695,1
1621428725,1
1621428755,1
1621428785,1
1621428815,1
1621428845,1
1621428875,1
1621428905,1
1621428935,1
1621428965,1
1621428995,1
1621429025,1
1621429055,1
1621429085,1
1621429115,1
1621429145,1
1621429175,1
1621429205,1
1621429235,1
1621429265,1
1621429295,1
1621429325,1
1621429355,1
1621429385,1
1621429415,1
1621429445,1
1621429475,1
1621429505,1
1621429535,1
1621429565,1
1621429595,1
1621429625,1
1621429655,1
1621429685,1
1621429715,1
1621429745,1
1621429775,1
1621429805,1
1621429835,1
1621429865,1
1621429895,1
1621429925,1
1621429955,1
1621429985,1
1621430015,1
1621430045,1
1621430075,1
1621430105,1
1621430135,1
1621430165,1
1621430195,1
1621430225,1
1621430255,1
1621430285,1
1621430315,1
1621430345,1
1621430375,1
1621430405,1
1621430435,1
1621430465,1
1621430495,1
1621430525,1
1621430555,1
1621430585,1
1621430615,0
1621430645,0
1621430675,0
1621430705,0
1621430735,0
1621430765,0
1621430795,0
1621430825,0
1621430855,0
1621430885,0
1621430915,0
1621430945,0
1621430975,0
1621431005,0
1621431035,0
1621431065,0
1621431095,0
1621431125,0
1621431155,0
1621431185,1
1621431215,1
1621431245,1
1621431275,1
1621431305,1
1621431335,1
1621431365,1
1621431395,1
1621431425,1
1621431455,1
1621431485,1
1621431515,1
1621431545,1
1621431575,1
1621431605,1
1621431635,1
1621431665,1
1621431695,1
1621431725,1
1621431755,1
1621431785,1
1621431815,1
1621431845,1
1621431875,1
1621431905,1
1621431935,1
1621431965,1
1621431995,0
1621432025,0
1621432055,0
1621432085,1
1621432115,1
1621432145,1
1621432175,1
1621432205,1
1621432235,1
1621432265,1
1621432295,1
1621432325,1
1621432355,1
1621432385,1
1621432415,1
1621432445,1
1621432475,1
1621432505,0
1621432535,0
1621432565,0
1621432595,0
1621432625,0
1621432655,0
1621432685,0
